selection
1000, 0.002634
2000, 0.007370
3000, 0.013510
4000, 0.026573
5000, 0.038539
6000, 0.060872
7000, 0.072521
8000, 0.103884
9000, 0.120232
10000, 0.160097
11000, 0.194628
12000, 0.219988
13000, 0.262667
14000, 0.296819
15000, 0.335060
16000, 0.391906
17000, 0.464453
18000, 0.516588
19000, 0.606282
20000, 0.639807
21000, 0.753236
22000, 0.799333
23000, 0.836343
24000, 0.920828
25000, 0.959685
26000, 1.004122
27000, 1.177472
28000, 1.225750
29000, 1.291428
30000, 1.351364
31000, 1.470897
32000, 1.579239
33000, 1.674196
34000, 1.751088
35000, 1.864995
36000, 1.962326
37000, 2.316473
38000, 2.230400
39000, 2.475538
40000, 2.544135
41000, 2.609931
42000, 2.669226
43000, 3.037200
44000, 2.918497
45000, 3.079235
46000, 3.244903
47000, 3.320851
48000, 3.510949
49000, 3.757973
50000, 3.780645
51000, 4.010411
52000, 4.331581
53000, 4.283594
54000, 4.424653
55000, 4.564331
56000, 4.763519
57000, 5.059311
58000, 5.164821
59000, 5.395000
60000, 5.458065
61000, 5.634075
62000, 5.856693
63000, 6.162595
64000, 6.231584
65000, 6.516439
66000, 6.662237
67000, 6.972188
68000, 7.349526
69000, 7.391555
70000, 7.417570
71000, 7.721580
72000, 8.265405
73000, 8.041756
74000, 8.324734
75000, 8.610616
76000, 8.899608
77000, 8.969833
78000, 9.245104
79000, 9.752507
80000, 9.660180
81000, 9.981509
82000, 10.509530
83000, 10.404940
84000, 10.744467
85000, 11.174772
86000, 11.295292
87000, 11.745536
88000, 11.971421
89000, 11.948353
90000, 12.442952
91000, 12.610987
92000, 13.001806
93000, 13.174839
94000, 13.414913
95000, 13.838636
96000, 13.928551
97000, 14.646518
98000, 14.659844
99000, 14.800033
100000, 15.190677
